title,rating_count,console,genres,average_rating
Alice'S Moms Rescue,8,sega_dreamcast,Platformer,4.75
Alien 3,393,super_nintendo|sega_megadrive|nes,Action,4.473867684478372
Alien Hominid,125,ps2,Action| Shooter| Platformer,4.476719999999999
Alien Resurrection,224,ps_one,Action| Adventure| First-Person Shooter,4.435892857142857
Alien Soldier,104,sega_megadrive,Action| Shooter,4.731634615384615
Alien Storm,54,sega_megadrive,Action| Shooter| Brawler,4.52
Alien Syndrome,66,nes,Action| Shooter,4.238636363636363
Alien Trilogy,311,ps_one|sega_saturn,|Action| Shooter| First-Person Shooter,4.533183279742765
Alien Vs. Predator,76,super_nintendo,Action| Brawler,4.448947368421052
Alienfront Online,71,sega_dreamcast,Action| Vehicular Combat,3.27
Aliens Versus Predator - Extinction,846,ps2,Action| Strategy,4.28
Alisia Dragoon,78,sega_megadrive,Action| Platformer,4.577948717948718
Alive,44,ps_one,Action| Fighting,4.637954545454545
All Star Fighters,45,ps2,Fighting,4.38
All Star Pro Wrestling,98,ps2,Wrestling,4.04
All Star Racing,17,ps_one,Driving/Racing,4.47
All Star Tennis '99,34,n64,Sports,4.323529411764706
All-Pro Basketball,12,nes,Sports| Basketball,3.5
All-Star Baseball '99,25,n64,Sports| Simulation| Baseball,4.438
All-Star Baseball 2000,43,n64,Sports| Simulation| Baseball,4.439534883720931
All-Star Baseball 2001,79,n64,Sports| Simulation| Baseball,4.24
All-Star Baseball 2002,23,ps2,Sports| Simulation| Baseball,4.737391304347827
All-Star Racing,11,ps_one,Driving/Racing,4.45
All-Star Racing 2,17,ps_one,Driving/Racing,4.41
Allied General,20,ps_one,Strategy,4.5
Alone In The Dark,226,ps_one|ps2,|Action-Adventure,4.377079646017699
Alone In The Dark - The New Nightmare,826,ps_one|sega_dreamcast|ps2,Puzzle| Action-Adventure,4.501234866828087
Alone In The Dark 2,48,ps_one,|Action-Adventure,4.71125
Alpha Mission,33,nes,Shoot Em Up,4.0636363636363635
Alpine Racer 3,36,ps2,Snowboarding/Skiing,4.887222222222222
Alpine Ski Racing 2007,16,ps2,Snowboarding/Skiing,4.5
Alpine Skiing 2005,15,ps2,Snowboarding/Skiing,4.334
Alter Echo,37,ps2,Action,4.539459459459459
Altered Beast,543,ps2|sega_megadrive,Action| Brawler| Platformer|Action| Action-Adventure,4.506132596685083
Alundra,668,ps_one,Action| Adventure| Role-Playing,4.686796407185629
Alundra 2,173,ps_one,Action| Adventure| Role-Playing,4.684739884393064
Alvin And The Chipmunks,62,ps2,Music/Rhythm,4.161935483870968
Amagami,360,ps2,Adventure,4.56
Amagon,41,nes,Action| Platformer,4.39
Amazing Spider-Man The - Lethal Foes,27,super_nintendo,Action| Brawler,4.44
Amazing Virtual Sea Monkeys,8,ps_one,Action,4.13
Amazing Virtual Sea-Monkeys The,12,ps_one,Action,4.67
America Daitouryou Senkyo,12,nes,Strategy| Simulation,4.17
America'S 10 Most Wanted,67,ps2,Action| First-Person Shooter,4.162089552238807
American Chopper,28,ps2,Action| Driving/Racing,4.642857142857143
American Chopper 2 - Full Throttle,42,ps2,Sports| Driving/Racing,4.741904761904762
American Dream,23,nes,Adventure| Simulation,4.0456521739130435
American Gladiators,41,super_nintendo|sega_megadrive|nes,Action| Sports| Simulation,4.46390243902439
American Idol,18,ps2,Music/Rhythm,4.17
American Pool,20,ps_one,Billiards,4.6
American Tail An,18,ps2,Platformer,4.06
American Tail An - Fievel Goes West,28,super_nintendo,Adventure,4.927142857142856
Amf Xtreme Bowling,13,ps2,Sports,4.38
Amok,24,sega_saturn,Action| Shooter,4.3325000000000005
Amplitude,76,ps2,Action| Music/Rhythm,4.6075
And 1 Streetball,2648,ps2,Sports| Basketball,4.240543806646526
Andre Agassi Tennis,123,super_nintendo|sega_megadrive,Sports| Tennis,4.5216260162601625
Andretti Racing,51,ps_one|sega_saturn,Driving/Racing| Simulation,4.588431372549019
Anearth,13,sega_saturn,Role-Playing,5.0
Angelique,10,super_nintendo,Adventure| Simulation,4.7
Angelique - Voice Fantasy,7,super_nintendo,Adventure| Simulation,5.0
Angelique Duet,26,ps_one,Adventure| Simulation,4.62
Angelique Special,13,ps_one,Adventure| Simulation,4.85
Angelique Tenkuu No Requiem,38,ps_one,Role-Playing,4.58
Animal Soccer World,26,ps2,Soccer,3.6499999999999995
Animaniacs,210,super_nintendo|sega_megadrive,Action| Platformer,4.757238095238095
Animaniacs - The Great Edgar Hunt,45,ps2,Action,4.31
Animorphs - Shattered Reality,35,ps_one,Action| Adventure| Platformer,4.71
Ankoku Shinwa - Yamato Takeru Densetsu,13,nes,Action| Adventure,4.23
Anna Kournikova'S Smash Court Tennis,76,ps_one,Sports| Tennis,4.67
Another Century'S Episode 3 - The Final,393,ps2,Action| Simulation,4.24
Another World,87,super_nintendo|sega_megadrive,Adventure| Role-Playing,4.817816091954023
Ant Bully The,772,ps2,Action| Adventure,1.5208937823834199
Anticipation,33,nes,Trivia/Board Game,4.242727272727272
Antz Extreme Racing,23,ps2,Action| Driving/Racing,4.475652173913043
Anubis Ii,32,ps2,Action,4.53
Aoi Hagane No Kihei - Space Griffon,7,sega_dreamcast,Action| Role-Playing,5.0
Aoki Densetsu Shoot!,10,super_nintendo,Soccer,4.6
